time,ERA5_pr,CMIP6_pr,bias_pr_CMIP6_minus_ERA5
1998-01-01,2.1243923583984587,1.5160807,-0.6083116212845061
1998-02-01,2.2945967344615497,2.5710218,0.2764250608112775
1998-03-01,2.2374192497854146,2.5705588,0.3331395366067973
1998-04-01,3.9694032356399,2.6526566,-1.3167466804641186
1998-05-01,3.5472392447055188,2.5417433,-1.0054959662021008
1998-06-01,8.771236823975553,4.313362,-4.4578747023935215
1998-07-01,8.368800270099756,4.437321,-3.9314790840340823
1998-08-01,7.241564391610612,2.2163742,-5.025190232751359
1998-09-01,6.103504600494097,2.5536811,-3.549823465316485
1998-10-01,2.2698194631847852,0.95178413,-1.3180353292736524
1998-11-01,1.8172922297033909,1.0465604,-0.7707318230185154
1998-12-01,0.7881156011713001,1.7363693,0.9482536510335949
1999-01-01,1.180429992568569,1.508328,0.3278979683994485
1999-02-01,1.573508431108641,3.421444,1.8479355081003435
1999-03-01,3.117065893955063,2.191821,-0.9252447956274263
1999-04-01,2.8562672792139705,3.440941,0.5846738161382024
1999-05-01,4.1017772594728,4.197325,0.09554797017197547
1999-06-01,5.915902316494776,6.2333617,0.3174594045440422
1999-07-01,7.549001677559513,4.881784,-2.667217715309757
1999-08-01,8.516935339233456,8.693633,0.1766977402953529
1999-09-01,8.908539698007925,4.576483,-4.332056925180776
1999-10-01,3.8053150295936766,0.17383595,-3.63147908148405
1999-11-01,1.2493136095272517,0.52224165,-0.7270719575153803
1999-12-01,1.1636941216312602,1.2066207,0.04292657157552693
2000-01-01,2.2535727123649942,1.623207,-0.6303657392891275
2000-02-01,0.9651071709367193,1.289787,0.3246798831251704
2000-03-01,1.6315864726493203,4.272284,2.6406975582649865
2000-04-01,1.5303020454543548,4.0869136,2.556611540208487
2000-05-01,2.34460333525085,3.7109563,1.366352999816899
2000-06-01,4.795239427166626,5.9724345,1.1771950935548094
2000-07-01,4.243845591144521,4.068919,-0.17492640932079073
2000-08-01,7.878543866567122,1.6907029,-6.187840951375471
2000-09-01,7.35165202355014,4.6071925,-2.744459507223236
2000-10-01,1.7136274841306385,1.0548329,-0.6587945487973865
2000-11-01,2.42298169569748,2.3797395,-0.04324217276352016
2000-12-01,0.9225282640690842,0.9028153,-0.019712981724266054
2001-01-01,2.9443263896309326,1.151698,-1.7926283963524292
2001-02-01,2.3140271285134126,2.3356223,0.0215951821250151
2001-03-01,1.161268819559198,3.2112586,2.0499898302668518
2001-04-01,1.0408248010867343,3.95595,2.91512522065704
2001-05-01,1.9466180174291516,4.2402587,2.293640676265917
2001-06-01,6.654076869793833,0.8401795,-5.8138973668298135
2001-07-01,6.694343890125757,3.3899148,-3.3044291390729006
2001-08-01,2.887814250468606,2.9738798,0.08606556367934326
2001-09-01,3.8262467284166575,2.6904135,-1.1358332533800364
2001-10-01,3.631476540832374,0.8614734,-2.7700031593130565
2001-11-01,1.4971651499722916,1.193038,-0.30412716321692046
2001-12-01,2.0968190993673494,2.130639,0.03381997686556071
2002-01-01,2.8244738973609813,2.970455,0.14598103389817396
2002-02-01,0.7316202140684355,2.1847034,1.4530831359987033
2002-03-01,2.4515625890356096,2.6917868,0.24022417701663645
2002-04-01,4.451236332530816,4.67668,0.22544375551239693
2002-05-01,3.4878914565844243,5.395674,1.9077827720837885
2002-06-01,2.2180657020623946,6.0468946,3.8288288482610917
